title,id,type:type,type:périodicité,content:description,keywords,meta:year,meta:salariés,meta:wikipédia
Claude Perdriel,1,Personne physique,,à venir,test,,,
Sophia Publications,2,Personne morale,,à venir,,,,
Groupe Perdriel,3,Personne morale,,à venir,,,,
L’histoire,4,Média,Mensuel,à venir,GPE,,,
Historia,5,Média,Mensuel,à venir,GPE,,,
Challenges,6,Média,Hebdomadaire,à venir,GPE,,,
Sciences & Avenir,7,Média,Mensuel,à venir,GPE,,,
L’Opinion,8,Média,Quotidien,à venir,GPE,,,
Prisa,9,Personne morale,,à venir,,,,
Xavier Niel,10,Personne physique,,à venir,,,,
Matthieu Pigasse,11,Personne physique,,à venir,,,,
Combat Solutions,12,Personne morale,,à venir,,,,
Le Nouveau Monde,13,Personne morale,,à venir,,,,
Le Monde libre,14,Personne morale,,à venir,,,,
Le Monde SA,15,Personne morale,,à venir,,,,
L’Obs,16,Média,Hebdomadaire,à venir,GPE,,,
Prier,17,Média,Mensuel,à venir,GPE,,,
"M, le magazine du Monde",18,Média,Hebdomadaire,à venir,GPE,,,
Le Monde,19,Média,Quotidien,à venir,GPE,,,
Télérama,20,Média,Hebdomadaire,à venir,GPE,,,
Courrier international,21,Média,Hebdomadaire,à venir,GPE,,,
Le Monde des religions,22,Média,Mensuel,à venir,GPE,,,
La Vie,23,Média,Hebdomadaire,à venir,GPE,,,
Le Monde diplomatique,24,Média,Mensuel,à venir,GPE,,,
Manière de voir,25,Média,Bimestriel,à venir,GPE,,,
HuffPost,26,Média,Site,à venir,Site,,,
AOL,27,Personne morale,,à venir,,,,
Huffington Post,28,Personne morale,,à venir,,,,
Radio Nova,29,Média,Radio,à venir,Radio,,,
Les Inrockuptibles,30,Média,Hebdomadaire,à venir,GPE,,,
Vice.com,31,Média,Site,à venir,Site,,,
Les Amis du Monde diplomatique,32,Personne morale,,à venir,,,,
Association Günter-Holzmann,33,Personne morale,,,,,,
Famille Dassault,34,Personne physique,,,,,,
Groupe Dassault,35,Personne morale,,,,,,
Groupe Figaro,36,Personne morale,,,,,,
Le Figaro,37,Média,Quotidien,,GPE,,,
Figaro Magazine,38,Média,Hebdomadaire,,GPE,,,
Le Particulier,39,Média,Mesuel,,GPE,,,
La Lettre de l’Expansion,40,Média,Mensuel,,GPE,,,
Bernard Arnault,41,Personne physique,,,,,,
LVMH,42,Personne morale,,,,,,
Le Parisien,43,Média,Quotidien,,GPE,,,
Le Parisien Week-End,44,Média,Hebdomadaire,,GPE,,,
Le Parisien économie,45,Média,Hebdomadaire,,GPE,,,
Aujourd’hui en France,46,Média,Quotidien,,GPE,,,
Groupe Les Échos,47,Personne morale,,,,,,
